"","Season","Week","Team","R","HR","RBI","SB","OBP","SLG","K","QS","W","SV","ERA","WHIP"
"139",2011,12,"Rage Against  The MaSHEEN!",37,6,23,6,0.3007,0.3542,71,8,5,0,2.647,1.074
"140",2011,12,"Have You Seen My Baseball?",41,14,37,11,0.3289,0.4693,37,5,4,5,2.627,1.005
"141",2011,12,"StraightEdge Racers",24,6,24,1,0.3168,0.3602,61,7,5,2,3.558,1.209
"142",2011,12,"M-Square Sliders",30,7,33,4,0.298,0.3872,41,6,6,2,3.462,1.058
"143",2011,12,"Kansas Sleazy",41,9,40,4,0.3525,0.4719,49,5,5,3,2.348,0.839
"144",2011,12,"Team Lopez",38,8,40,8,0.3373,0.4317,44,6,3,0,3.168,1.374
"145",2011,13,"KC Black Stars",32,12,41,2,0.3131,0.4406,71,6,2,8,5.582,1.367
"146",2011,13,"6-4-3 Dobermans",32,9,28,7,0.3088,0.3909,34,5,3,1,1.35,0.65
"147",2011,13,"The Green Monsters",32,8,35,6,0.2846,0.381,70,5,5,0,5.821,1.445
"148",2011,13,"$1 Hot Dog Night",48,16,43,6,0.301,0.4803,73,8,6,4,2.951,1.081
"149",2011,13,"Over The Baggy",29,11,29,4,0.3458,0.509,36,2,4,6,3.375,1.25
"150",2011,13,"Team Mitchell",26,7,29,7,0.3686,0.4655,25,3,4,3,2.298,1.149
"151",2011,13,"Have You Seen My Baseball?",48,16,48,4,0.3438,0.4982,34,4,2,8,2.852,1.162
"152",2011,13,"M-Square Sliders",26,4,24,6,0.3089,0.4051,78,7,5,8,2.318,0.953
"153",2011,13,"Team Lopez",30,6,31,3,0.3538,0.449,68,7,6,1,3.203,0.992
"154",2011,13,"Rage Against  The MaSHEEN!",51,13,42,10,0.3303,0.4595,65,7,6,0,2.631,0.892
"155",2011,13,"Kansas Sleazy",38,10,37,3,0.375,0.5149,43,5,4,2,2.953,1.172
"156",2011,13,"StraightEdge Racers",24,4,15,8,0.3086,0.3665,56,8,5,4,3.532,1.228
"157",2011,14,"The Green Monsters",33,8,25,5,0.3265,0.3985,64,10,5,0,2.842,1
"158",2011,14,"KC Black Stars",35,8,45,7,0.3547,0.4155,64,5,3,8,4.974,1.461
"159",2011,14,"6-4-3 Dobermans",38,11,45,9,0.3548,0.488,41,4,4,2,3.673,1.082
"160",2011,14,"Over The Baggy",41,10,42,3,0.3597,0.528,45,4,3,7,2.439,1.084
"161",2011,14,"$1 Hot Dog Night",47,12,36,4,0.3485,0.45,56,5,5,5,4.359,1.224
"162",2011,14,"Team Mitchell",41,9,39,4,0.3494,0.465,70,4,4,7,5.133,1.357
"163",2011,14,"Team Lopez",26,6,34,6,0.3188,0.3978,47,3,3,1,4.828,1.47
"164",2011,14,"Have You Seen My Baseball?",48,14,48,15,0.3663,0.5017,44,5,2,6,3.734,1.229
"165",2011,14,"M-Square Sliders",36,4,28,5,0.3224,0.3569,57,6,4,7,3.111,1.16
"166",2011,14,"Kansas Sleazy",40,15,43,5,0.3558,0.481,74,9,4,3,2.6,1.278
"167",2011,14,"Rage Against  The MaSHEEN!",40,13,43,6,0.3116,0.4444,61,7,3,0,3.585,1.195
"168",2011,14,"StraightEdge Racers",29,6,33,4,0.3097,0.3776,58,8,8,4,4.578,1.357
"169",2011,15,"KC Black Stars",49,10,58,11,0.325,0.3995,111,11,6,7,3.403,1.241
"170",2011,15,"Over The Baggy",52,17,50,4,0.3548,0.4816,74,5,4,7,3.496,1.152
"171",2011,15,"Team Mitchell",57,14,56,9,0.395,0.5204,79,4,6,5,4.939,1.427
"172",2011,15,"The Green Monsters",58,14,62,9,0.3103,0.4328,84,10,7,0,3.563,1.208
"173",2011,15,"$1 Hot Dog Night",51,14,60,11,0.3448,0.4511,94,11,9,5,2.534,1.087
"174",2011,15,"6-4-3 Dobermans",47,10,51,6,0.324,0.3688,46,3,3,4,5.272,1.491
"175",2011,15,"Have You Seen My Baseball?",74,17,55,9,0.3188,0.4455,74,6,4,11,3.336,1.124
"176",2011,15,"Kansas Sleazy",50,15,59,6,0.319,0.4207,94,5,4,9,4.754,1.276
"177",2011,15,"StraightEdge Racers",53,16,68,6,0.3486,0.4581,77,9,5,3,3.439,1.232
"178",2011,15,"Team Lopez",41,8,55,7,0.3306,0.3712,111,9,3,2,3.834,1.101
"179",2011,15,"Rage Against  The MaSHEEN!",64,13,49,15,0.3258,0.3764,100,12,8,0,3.931,1.385
"180",2011,15,"M-Square Sliders",52,8,40,21,0.3134,0.3953,103,11,10,8,2.769,1.111
"181",2011,16,"Team Mitchell",44,8,33,6,0.387,0.5212,59,4,3,3,3.186,1.118
"182",2011,16,"KC Black Stars",45,10,43,7,0.3957,0.5433,63,6,5,8,3.168,1.224
"183",2011,16,"Over The Baggy",38,6,24,4,0.3333,0.3932,44,5,6,5,2.124,1.096
"184",2011,16,"$1 Hot Dog Night",45,5,32,9,0.3529,0.4069,64,8,6,5,4.257,1.446
"185",2011,16,"The Green Monsters",46,13,43,9,0.346,0.5103,58,2,3,0,6.055,1.655
"186",2011,16,"6-4-3 Dobermans",34,17,51,5,0.3196,0.5075,55,7,4,4,2.109,0.906
"187",2011,16,"StraightEdge Racers",45,14,50,6,0.3782,0.5252,48,7,4,2,4.685,1.356
"188",2011,16,"Have You Seen My Baseball?",46,14,55,4,0.3621,0.5,49,5,4,8,1.677,1.043
"189",2011,16,"Kansas Sleazy",35,4,37,5,0.3451,0.3961,60,4,6,4,3.444,1.209
"190",2011,16,"Rage Against  The MaSHEEN!",52,11,53,14,0.3259,0.4381,69,8,6,0,4.119,1.208
"191",2011,16,"Team Lopez",41,7,36,7,0.3536,0.43,45,3,0,2,4.838,1.457
"192",2011,16,"M-Square Sliders",28,6,40,9,0.3167,0.3992,65,6,3,2,2.902,1.178
"193",2011,17,"Have You Seen My Baseball?",39,11,41,5,0.3689,0.5092,52,4,5,2,4.456,1.165
"194",2011,17,"KC Black Stars",48,10,43,4,0.3927,0.4921,67,8,6,8,3.659,1.132
"195",2011,17,"Rage Against  The MaSHEEN!",40,12,44,5,0.3385,0.4495,55,6,7,0,3,1.303
"196",2011,17,"$1 Hot Dog Night",35,12,36,4,0.3176,0.4448,56,5,3,4,6.115,1.474
"197",2011,17,"M-Square Sliders",37,5,33,11,0.32,0.3644,70,6,5,7,3.562,1.187
"198",2011,17,"6-4-3 Dobermans",32,6,27,3,0.317,0.3786,27,3,2,0,4.459,1.376
"199",2011,17,"Team Lopez",44,11,37,2,0.3423,0.4569,51,4,7,1,4.785,1.519
"200",2011,17,"The Green Monsters",56,12,42,8,0.3789,0.5243,72,7,6,0,3.249,1.295
"201",2011,17,"Kansas Sleazy",38,10,36,5,0.337,0.4862,48,6,4,5,3.904,1.193
"202",2011,17,"Over The Baggy",34,11,41,3,0.3162,0.4498,30,3,0,6,3.821,1.33
"203",2011,17,"StraightEdge Racers",28,10,33,4,0.3145,0.4363,44,5,6,2,3,1.14
"204",2011,17,"Team Mitchell",31,6,27,3,0.3489,0.4217,49,5,3,3,4.065,1.21
"205",2011,18,"$1 Hot Dog Night",39,6,36,13,0.3776,0.4241,54,5,4,5,2.608,0.938
"206",2011,18,"Have You Seen My Baseball?",49,10,48,10,0.3699,0.5189,47,7,6,4,2.617,1.179
"207",2011,18,"6-4-3 Dobermans",18,4,22,4,0.3333,0.3851,28,3,2,1,2.755,1.071
"208",2011,18,"Rage Against  The MaSHEEN!",38,13,41,1,0.2914,0.4429,77,7,5,1,3.791,1.251
"209",2011,18,"The Green Monsters",33,13,36,2,0.305,0.4454,46,6,3,0,3.812,1.324
"210",2011,18,"M-Square Sliders",35,10,33,7,0.3429,0.4502,89,7,6,4,3.793,1.24
"211",2011,18,"Over The Baggy",22,5,34,6,0.3371,0.3808,41,4,2,6,3.288,1.365
"212",2011,18,"Team Lopez",34,7,26,5,0.3621,0.4679,52,2,2,0,6.563,1.521
"213",2011,18,"Team Mitchell",40,8,31,5,0.3436,0.4185,42,4,2,5,3.457,1.372
"214",2011,18,"Kansas Sleazy",38,7,28,2,0.3182,0.3668,40,4,4,6,4.854,1.534
"215",2011,18,"KC Black Stars",47,13,41,5,0.3291,0.4496,67,5,5,6,3.192,1.049
"216",2011,18,"StraightEdge Racers",33,11,32,5,0.3714,0.496,42,5,4,6,4.27,1.362
"217",2011,19,"Have You Seen My Baseball?",28,9,37,2,0.279,0.3974,59,6,5,6,4.462,1.411
"218",2011,19,"6-4-3 Dobermans",22,6,17,6,0.3366,0.457,38,1,3,2,6.045,1.567
"219",2011,19,"Rage Against  The MaSHEEN!",39,12,40,5,0.3483,0.4867,67,9,4,0,2.222,0.938
